student_admission_number,guardian_id,relationship,is_primary
STU_001,900076dc000,OTHER,false
STU_001,900076dc001,OTHER,false
STU_001,900076dc002,OTHER,false
STU_001,900076dc003,OTHER,false
STU_001,900076dc004,OTHER,false
STU_001,900076dc005,OTHER,false
STU_001,900076dc006,OTHER,false
STU_001,900076dc007,OTHER,false
STU_001,900076dc008,OTHER,false
STU_001,900076dc009,OTHER,false
STU_001,900076dc010,OTHER,false
STU_001,900076dc011,OTHER,false
STU_001,900076dc012,OTHER,false
STU_001,900076dc013,OTHER,false
STU_001,900076dc014,OTHER,false
STU_001,900076dc015,OTHER,false
STU_001,900076dc016,OTHER,false
STU_001,900076dc017,OTHER,false
STU_001,900076dc018,OTHER,false
STU_001,900076dc019,OTHER,false
STU_001,900076dc020,OTHER,false
STU_001,900076dc021,OTHER,false
STU_001,900076dc022,OTHER,false
STU_001,900076dc023,OTHER,false
STU_001,900076dc024,OTHER,false
STU_001,900076dc025,OTHER,false
STU_001,900076dc026,OTHER,false
STU_001,900076dc027,OTHER,false
STU_001,900076dc028,OTHER,false
STU_001,900076dc029,OTHER,false
STU_001,900076dc030,OTHER,false
STU_001,900076dc031,OTHER,false
STU_001,900076dc032,OTHER,false
STU_001,900076dc033,OTHER,false
STU_001,900076dc034,OTHER,false
STU_001,900076dc035,OTHER,false
STU_001,900076dc036,OTHER,false
STU_001,900076dc037,OTHER,false
STU_001,900076dc038,OTHER,false
STU_001,900076dc039,OTHER,false
STU_001,900076dc040,OTHER,false
STU_001,900076dc041,OTHER,false
STU_001,900076dc042,OTHER,false
STU_001,900076dc043,OTHER,false
STU_001,900076dc044,OTHER,false
STU_001,900076dc045,OTHER,false
STU_001,900076dc046,OTHER,false
STU_001,900076dc047,OTHER,false
STU_001,900076dc048,OTHER,false
STU_001,900076dc049,OTHER,false
STU_001,900076dc050,OTHER,false
STU_001,900076dc051,OTHER,false
STU_001,900076dc052,OTHER,false
STU_001,900076dc053,OTHER,false
STU_001,900076dc054,OTHER,false
STU_001,900076dc055,OTHER,false
STU_001,900076dc056,OTHER,false
STU_001,900076dc057,OTHER,false
STU_001,900076dc058,OTHER,false
STU_001,900076dc059,OTHER,false
STU_001,900076dc060,OTHER,false
STU_001,900076dc061,OTHER,false
STU_001,900076dc062,OTHER,false
STU_001,900076dc063,OTHER,false
STU_001,900076dc064,OTHER,false
STU_001,900076dc065,OTHER,false
STU_001,900076dc066,OTHER,false
STU_001,900076dc067,OTHER,false
STU_001,900076dc068,OTHER,false
STU_001,900076dc069,OTHER,false
STU_001,900076dc070,OTHER,false
STU_001,900076dc071,OTHER,false
STU_001,900076dc072,OTHER,false
STU_001,900076dc073,OTHER,false
STU_001,900076dc074,OTHER,false
STU_001,900076dc075,OTHER,false
STU_001,900076dc076,OTHER,false
STU_001,900076dc077,OTHER,false
STU_001,900076dc078,OTHER,false
STU_001,900076dc079,OTHER,false
STU_001,900076dc080,OTHER,false
STU_001,900076dc081,OTHER,false
STU_001,900076dc082,OTHER,false
STU_001,900076dc083,OTHER,false
STU_001,900076dc084,OTHER,false
STU_001,900076dc085,OTHER,false
STU_001,900076dc086,OTHER,false
STU_001,900076dc087,OTHER,false
STU_001,900076dc088,OTHER,false
STU_001,900076dc089,OTHER,false
STU_001,900076dc090,OTHER,false
STU_001,900076dc091,OTHER,false
STU_001,900076dc092,OTHER,false
STU_001,900076dc093,OTHER,false
STU_001,900076dc094,OTHER,false
STU_001,900076dc095,OTHER,false
STU_001,900076dc096,OTHER,false
STU_001,900076dc097,OTHER,false
STU_001,900076dc098,OTHER,false
STU_001,900076dc099,OTHER,false
STU_001,900076dc100,OTHER,false
STU_001,900076dc101,OTHER,false
STU_001,900076dc102,OTHER,false
STU_001,900076dc103,OTHER,false
STU_001,900076dc104,OTHER,false
